,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512611189356122112,1512611189356122112,1649469585000.0,2022-04-09 08:59:45,+0700,,ครับ #กรุงเทพดีกว่านี้ได้ #ป #ผู้ว่ากทม #ผู้ว่ากรุงเทพ จากเพื่อน FB ที่ไม่ขอเอ่ยนาม  https://t.co/aJdaNtCjYE,th,"['กรุงเทพดีกว่านี้ได้', 'ป', 'ผู้ว่ากทม', 'ผู้ว่ากรุงเทพ']",[],325417766,325417766,PravitR,Pravit Rojanaphruk,6,08,https://twitter.com/PravitR/status/1512611189356122112,[],['https://pbs.twimg.com/media/FP3f20nakAMYmvg.jpg'],1,https://pbs.twimg.com/media/FP3f20nakAMYmvg.jpg,False,10,2,4,,#ผู้ว่ากทม,,,,,,,[],,,,
1,1512610850586370049,1512610850586370049,1649469504000.0,2022-04-09 08:58:24,+0700,,ครับ #กรุงเทพดีกว่านี้ได้ #ป #ผู้ว่ากทม #ผู้ว่ากรุงเทพ  https://t.co/PZw6CRWeou,th,"['กรุงเทพดีกว่านี้ได้', 'ป', 'ผู้ว่ากทม', 'ผู้ว่ากรุงเทพ']",[],325417766,325417766,PravitR,Pravit Rojanaphruk,6,08,https://twitter.com/PravitR/status/1512610850586370049,[],['https://pbs.twimg.com/media/FP3fi3uagAEWT-Z.jpg'],1,https://pbs.twimg.com/media/FP3fi3uagAEWT-Z.jpg,False,9,0,6,,#ผู้ว่ากทม,,,,,,,[],,,,
2,1512595416566886400,1512595416566886400,1649465824000.0,2022-04-09 07:57:04,+0700,,สภาพฝุ่น PM2.5 ในอากาศเช่นนี้ ผมควรกาเบอร์ไหนก่อนปอดพังดีครับ? ตอนนี้ตาอักเสบแล้ว #ป #ผู้ว่ากรุงเทพมหานคร #ผู้ว่ากทม #ชัชชาติ #วิโรจน์ #พี่เอ้ #รสนา #วรัลชัย #อัศวิน  https://t.co/OIOTWnlgRW,th,"['ป', 'ผู้ว่ากรุงเทพมหานคร', 'ผู้ว่ากทม', 'ชัชชาติ', 'วิโรจน์', 'พี่เอ้', 'รสนา', 'วรัลชัย', 'อัศวิน']",[],325417766,325417766,PravitR,Pravit Rojanaphruk,6,07,https://twitter.com/PravitR/status/1512595416566886400,[],['https://pbs.twimg.com/media/FP3RgwOakAA8iiP.jpg'],1,https://pbs.twimg.com/media/FP3RgwOakAA8iiP.jpg,False,12,2,3,,#ผู้ว่ากทม,,,,,,,[],,,,
3,1512419852849348608,1512419852849348608,1649423966000.0,2022-04-08 20:19:26,+0700,,"คนไทย (not all) ""บ้าโปรไฟล์"" สมัครงานต้องดูจบไหน เป็นญาติใคร เช็คประวัติการศึกษา ลำดับวงศ์คนรู้จัก  ผู้สมัคร #ผู้ว่ากทม claim ประวัติตัวเองเพื่อสร้างจุดขาย ควรโชว์ฝีมือ ผลงาน ประสบการณ์/ความสำเร็จ ไม่ใช่อวดว่าเป็นญาติใคร #เลือกตั้งผู้ว่ากทม  บทความ :  https://t.co/4lgK0Owuez  https://t.co/YRn5jHlHXR",th,"['ผู้ว่ากทม', 'เลือกตั้งผู้ว่ากทม']",[],1408623938012254215,1408623938012254215,ThinkTalkLoud,ThinkTalkLoud,5,20,https://twitter.com/ThinkTalkLoud/status/1512419852849348608,['https://bit.ly/37rqx5K'],['https://pbs.twimg.com/media/FP0xqrZVkAYANbJ.jpg'],1,https://pbs.twimg.com/media/FP0xqrZVkAYANbJ.jpg,False,11,0,5,,#ผู้ว่ากทม,,,,,,,[],,,,
4,1512413676703477765,1512413676703477765,1649422494000.0,2022-04-08 19:54:54,+0700,,ปัญหาของกรุงเทพฯ แก้ไม่ง่าย แต่เมื่อ #ชัชชาติสิทธิพันธุ์ บุรุษที่แข็งแกร่งที่สุดในปฐพี ลงสมัครเป็น #ผู้ว่ากทม ชาวกรุงเทพฯ คาดหวังอะไรได้บ้าง บทสัมภาษณ์นี้มีคำตอบซึ่งน่าจะก่อความคาดหวังขึ้นในใจของหลายๆ คน  https://t.co/d6EHM4Xgoz  #ผู้ว่าฯกทม #ชัชชาติ #ชัช8าติ #ผู้ว่ากรุงเทพ  https://t.co/d1ET8PsgSM,th,"['ชัชชาติสิทธิพันธุ์', 'ผู้ว่ากทม', 'ผู้ว่าฯกทม', 'ชัชชาติ', 'ชัช8าติ', 'ผู้ว่ากรุงเทพ']",[],1352542523609124865,1352542523609124865,thairathplus,Thairath Plus - ไทยรัฐพลัส,5,19,https://twitter.com/thairathplus/status/1512413676703477765,['https://plus.thairath.co.th/topic/spark/101356'],['https://pbs.twimg.com/media/FP0rT_uacAIW9Be.png'],1,https://pbs.twimg.com/media/FP0rT_uacAIW9Be.png,False,8,0,5,,#ผู้ว่ากทม,,,,,,,[],,,,
5,1512324602063511552,1512272810043150339,1649401257000.0,2022-04-08 14:00:57,+0700,,@Pannika_FWP #ชัชชาติ สมัคร #เลือกตั้งผู้ว่ากทม ต้องดูแลคนกทม.ทุกกลุ่ม เหลือง แดง ส้ม พลังเงียบ ฯลฯ เขาเสนอให้ทุกเขตมีพื้นที่แสดงออก ไม่ใช่ห้ามชุมนุมนอกพื้นที่ ที่ต้องดูพรบ.ชุมนุมสาธารณะ นอกเหนืออำนาจ #ผู้ว่ากทม และการจัดพื้นที่ให้พูดในทุกเขต ช่วยให้คนในพื้นที่สามารถแสดงออกได้โดยสะดวกปลอดภัย,th,"['ชัชชาติ', 'เลือกตั้งผู้ว่ากทม', 'ผู้ว่ากทม']",[],1341509878683070464,1341509878683070464,stopcredulity2,DK หยุดงมงาย คนเท่ากัน 🇹🇭 🇺🇦,5,14,https://twitter.com/stopcredulity2/status/1512324602063511552,[],[],0,,False,16,0,5,,#ผู้ว่ากทม,,,,,,,"[{'screen_name': 'Pannika_FWP', 'name': 'Pannika Wanich', 'id': '715916606'}]",,,,
6,1512310982445395972,1512310982445395972,1649398010000.0,2022-04-08 13:06:50,+0700,,#คนไทยจะไม่ทนคณะล้มเจ้า  #ปลดแอกล้มเจ้า #ผู้ว่ากทม #เลือกตั้งผู้ว่ากทม65,und,"['คนไทยจะไม่ทนคณะล้มเจ้า', 'ปลดแอกล้มเจ้า', 'ผู้ว่ากทม', 'เลือกตั้งผู้ว่ากทม65']",[],1444833450125496322,1444833450125496322,Frenvbbb,Free Stuff,5,13,https://twitter.com/Frenvbbb/status/1512310982445395972,[],[],0,,False,8,0,0,https://twitter.com/raul45781857/status/1512304673503342602,#ผู้ว่ากทม,,,,,,,[],,,,
7,1512295308390068224,1512264479610126342,1649394273000.0,2022-04-08 12:04:33,+0700,,@chadchart_trip ชื่มชมท่านจั๊ฟฟ เลือกแน่นอนเบอร์นี้  #ชัชชาติ #เบอร์8 #ผู้ว่ากทม #GranTurismo #GranTurismo7 #PlayStation #Bangkok  https://t.co/hGnWSQIDQ2,th,"['ชัชชาติ', 'เบอร์8', 'ผู้ว่ากทม', 'granturismo', 'granturismo7', 'playstation', 'bangkok']",[],1209048449494048768,1209048449494048768,DudeFullmoon,ดู๊ด๊า​ ดี๊ด๊า,5,12,https://twitter.com/DudeFullmoon/status/1512295308390068224,[],"['https://pbs.twimg.com/media/FPzAUCjVkAAkrDg.jpg', 'https://pbs.twimg.com/media/FPzAeMjVcAgtlnf.jpg', 'https://pbs.twimg.com/media/FPzAeNRUcA4M3o6.jpg']",1,https://pbs.twimg.com/media/FPzAUCjVkAAkrDg.jpg,False,8,0,3,,#ผู้ว่ากทม,,,,,,,"[{'screen_name': 'chadchart_trip', 'name': 'ชัชชาติ สิทธิพันธุ์', 'id': '1098876467289542656'}]",,,,
8,1512293016244948992,1512293016244948992,1649393726000.0,2022-04-08 11:55:26,+0700,,การเมืองสกปรก จากกลุ่มการเมืองที่ฝันอยากทำการเมืองแบบใหม่เป็นเช่นนี้เองสินะ ฉ้อ นิวโลว์ลงไปทุกวัน พรรคส้มจะสูญพันธุ์ก็ไม่แปลกใจ เพราะไม่มีคนกลุ่มไหนยอมรับพวกดีแต่พูดแบบพวกคุณได้นานหรอกค่ะ #ติ่งส้ม #ก้าวไกล #ชัชชาติ #ผู้ว่ากทม #วิโรจน์,th,"['ติ่งส้ม', 'ก้าวไกล', 'ชัชชาติ', 'ผู้ว่ากทม', 'วิโรจน์']",[],1341413299418767365,1341413299418767365,fierce1214,นางแบก 100%,5,11,https://twitter.com/fierce1214/status/1512293016244948992,[],[],0,,False,8,1,10,https://twitter.com/Pannika_FWP/status/1512272810043150339,#ผู้ว่ากทม,,,,,,,[],,,,
9,1512291243987914756,1512291243987914756,1649393304000.0,2022-04-08 11:48:24,+0700,,#ชัชชาติ เขากำลังหาทางช่วยให้ม็อบยังสามารถชุมนุมได้โดยที่ไม่ต้องไปเดือดร้อนคนอื่นครับ เราเลือก #ผู้ว่ากทม ก็เพื่อคนกรุงเทพฯ มิใช่เพื่อม็อบอย่างเดียว #เลือกตั้งผู้ว่ากทม #เลือกตั้งผู้ว่าฯ65 #เลือกตั้งผู้ว่าฯกทม,th,"['ชัชชาติ', 'ผู้ว่ากทม', 'เลือกตั้งผู้ว่ากทม', 'เลือกตั้งผู้ว่าฯ65', 'เลือกตั้งผู้ว่าฯกทม']",[],1427523515620622338,1427523515620622338,Colchoneros009,Colchoneros,5,11,https://twitter.com/Colchoneros009/status/1512291243987914756,[],[],0,,False,10,1,3,https://twitter.com/MatichonOnline/status/1512282618448191488,#ผู้ว่ากทม,,,,,,,[],,,,
